what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1427666241120
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1427666241185
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1427666241185
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1427666249288
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427666250492
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427666252720
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1427666252831
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1427666252878
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1427666283735
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1427666287582
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1427666295696
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1427666305848
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427666308766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427666388231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427666390803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427666393543
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427666395176
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427666398179
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1427666404468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427666404977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427666569010
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1427666571574
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1427666572429
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1427666572465
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427666605623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427674379766
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1427674389892
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1427674478079
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1427674483053
